name,country,region,address,phone,lat,lon
SABANA GRANDE,Venezuela,GRAN CARACAS,"Av. Los Jabillos, entre Av. Francisco Solano López y Calle Las Flores, Galpón N° 6, Sabana Grande, Parroquia El Recreo Municipio Libertador Caracas Dto. Capital Venezuela Zp. 1050",,,
LA TRINIDAD,Venezuela,GRAN CARACAS,"Vía Los Guayabitos, Edif. Kinky, P.B. Locales 3 y 4, Urb. Piedra Azul, Baruta. Edo. Miranda.",,,
BOLEÍTA,Venezuela,GRAN CARACAS,Sector Boleíta Sur Av. Ppal. Entre 4ta Y 3ra Transv. Qta La Campiña Parroquia Leoncio Martínez Municipio Sucre Gran Caracas. Miranda Venezuela.,,,
MONTECRISTO,Venezuela,GRAN CARACAS,Urb. Monte Cristo Av. Primera de Monte Cristo Entre 3ra y 4ta Transv. Qta. Laura P.B. Parroquia Leoncio Martínez Municipio Sucre Gran Caracas. Miranda Venezuela Zp. 1071,,,
LA CALIFORNIA,Venezuela,GRAN CARACAS,"Urb. California Norte, Av. Paris con Santiago de León, Edificio Premier antes de llegar al INTT, frente al Ven 911 ""SIMA"" a una cuadra del metro de la California",,,
SAN MARTÍN,Venezuela,GRAN CARACAS,"Urb. San Martín I Edif. Indaragua Pb. Local B2 Av. José Ángel Lamas, Calle Sevilla Parroquia San Juan Municipio Libertador Caracas Dto. Capital Venezuela Zp. 1020",,,
CATIA,Venezuela,GRAN CARACAS,"Calle Maury, Casa La Valenciana Nº PB, Urbanización Catia Caracas- Distrito Capital Zona Postal 1030.",,,
EL PARAÍSO,Venezuela,GRAN CARACAS,Urb. El Paraíso Av. Washington Qta. Nina Local PB. Parroquia el Paraíso Municipio Libertador Caracas. Dto. Capital Venezuela Zp. 1020,,,
LOS PALOS GRANDES,Venezuela,GRAN CARACAS,Urb. Los Palos Grandes Av. Andrés Bello con 1era Transv. Res. Plaza 1 Semisótano Local N°. 4 Parroquia Chacao Gran Caracas Miranda Venezuela Zp. 1060,,,
LA CANDELARIA,Venezuela,GRAN CARACAS,Avenida Fuerzas Armadas Esq. Socorro Edificio Residencias Dorado P.B. Local 2 Parroquia Altagracia Zp. 1010,,,
EL CEMENTERIO,Venezuela,GRAN CARACAS,"Avenida Principal del Cementerio cruce con Calle El Degredo, Mercado Merposur, Caracas, Zp. 1040",,,
LA CANDELARIA – C.C. LORD CENTER.,Venezuela,GRAN CARACAS,"Centro Comercial Lord Center, en la Av. Vollmer con Av. Urdaneta local 31 PB.",,,
